
663106,"September 26, 2016",Texas,Houston,5450 Weslayan St,1,6
663789,"September 26, 2016",Texas,Humble,21219 Grand Linden Court,0,4
663624,"September 26, 2016",North Carolina,Winston Salem (Winston-salem),100 block of 5 Royales Drive,0,4
662548,"September 25, 2016",Illinois,Champaign,300 block of E. Green Street,1,3
662342,"September 24, 2016",Maryland,Baltimore,Greenmount Avenue and Preston Street,0,8
662111,"September 23, 2016",Texas,Houston,6910 Apache Street,0,4
661703,"September 23, 2016",Washington,Burlington,201 Cascade Mall Dr,5,0
657854,"September 18, 2016",Pennsylvania,Philadelphia,3001 Castor Avenue,0,4
657863,"September 18, 2016",Virginia,Lynchburg,421 Rivermont Ave,1,3
658226,"September 18, 2016",Pennsylvania,Pittsburgh,1700 block of Brighton Place,0,4
659289,"September 17, 2016",Florida,Miami,20582 Southwest 119th Avenue,0,6
657151,"September 17, 2016",Indiana,Indianapolis,2016 West 76th Street,2,2
657136,"September 17, 2016",Florida,Orlando,3918 Columbia Street,1,6
657634,"September 17, 2016",District of Columbia,Washington,2600 block of Birney Place SE,2,7
656991,"September 16, 2016",California,Los Angeles (Hollywood),555 N Heliotrope Drive,2,2
657023,"September 16, 2016",Pennsylvania,Philadelphia,5100 block of Sansom Street,2,5
655512,"September 14, 2016",Texas,Houston,16000 block of Saybrook,1,3
654087,"September 13, 2016",Indiana,Fort Wayne,1723 E Wayne St,3,2
653077,"September 11, 2016",Louisiana,New Orleans,2349 S Claiborne Ave,1,5
652584,"September 11, 2016",Missouri,Kansas City,500 block of Westport Road,0,6
652642,"September 11, 2016",Indiana,Fort Wayne,3006 Holton Avenue,3,1
652561,"September 11, 2016",Michigan,Saginaw,2207 Pierce Road,0,5
652606,"September 11, 2016",North Carolina,New Bern,1100 block of Highway 70,0,5
652759,"September 11, 2016",New Jersey,Jersey City,87 Van Wagenen Ave,1,3
652175,"September 10, 2016",Florida,Miami,3451 Northwest 36 Street,1,3

651957,"September 8, 2016",Texas,Austin,8330 Linden Road,4,0
651434,"September 8, 2016",Arkansas,Hot Springs National Park (Hot Springs),300 block of Lacey Street,1,4
648490,"September 5, 2016",Pennsylvania,Reading,600 block of Moss Street,0,4
648884,"September 5, 2016",Illinois,Chicago,2700 block of West Lexington Avenue,2,3
647865,"September 4, 2016",Virginia,Roanoke,1020 Orange Ave. N.E,1,10
646855,"September 3, 2016",Illinois,Chicago,100 block of North Seeley Avenue,0,4
646995,"September 3, 2016",North Carolina,Wilmington,600 block of North 30th Street,1,3
644723,"August 30, 2016",Georgia,Atlanta,400 Merritts Avenue NE,0,4
643824,"August 30, 2016",Illinois,Chicago (Englewood),6800 block of South Ashland,0,4
641732,"August 29, 2016",New Jersey,Egg Harbor City,907 White Horse Pike,1,5
641419,"August 28, 2016",Texas,Lubbock,2200 block of 17th St,0,6
640689,"August 28, 2016",Missouri,Saint Louis,South Grand and Montana,2,2
640677,"August 28, 2016",New York,Bronx,514 E 156th St,0,4
640861,"August 28, 2016",Alabama,Dadeville,512 E Columbus St,0,5
640203,"August 27, 2016",Florida,Miami,1900 block of NW 83rd Terr,2,4
640500,"August 27, 2016",Alabama,Bessemer (Brighton),3810 7th Ave,1,6
640901,"August 25, 2016",New Jersey,Bridgeton,Marion Street,0,5
634787,"August 21, 2016",Connecticut,Bridgeport,19 Plymouth St,0,13
634889,"August 21, 2016",Massachusetts,Boston,Westview and Stratton Street,0,4
634731,"August 20, 2016",Washington,Tacoma,900 block of Pacific Avenue,0,5
634238,"August 20, 2016",Connecticut,Hamden,903 Dixwell Avenue,0,4
634819,"August 20, 2016",Alabama,Citronelle,Jim Platt Road,5,0
632747,"August 18, 2016",Connecticut,Waterbury,402 E Main Street,0,4
632753,"August 17, 2016",California,Oakland,Mandela Parkway,0,4
629415,"August 14, 2016",Minnesota,Minneapolis,1717 Plymouth Avenue North,0,5

